Experiment5_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -2.575, -2.9, 0
"(0, 1)", -3.5125, 10.559999999999999, 0, 0
"(0, 2)", 37.04725, 15.0, 15.0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -2.625, -1.0, -1.7
"(1, 1)", -1.85, -1.0, -1.5, 1.9
"(1, 2)", 0, 0, -1.7, 5.3100000000000005
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -3.42636, -1.5, -1.7
"(2, 1)", -2.45, -5.246904, -1.5, -1.7
"(2, 2)", -2.69, -2.7779999999999996, -1.7, -2.9
"(2, 3)", 0, -2.533, 0, 0
"(2, 4)", 44.117549999999994, 0, 0, 0
"(3, 0)", 0, -2.45, -1.0, -1.85
"(3, 1)", -1.5, -1.7, -2.575, -1.5
"(3, 2)", -2.2, -1.0, -1.75, -2.45
"(3, 3)", -1.5, -1.5, -1.5, 0
"(3, 4)", 0, 0, 0, 17.297499999999996
"(4, 0)", 0, -1.5, 0, -2.2
"(4, 1)", -2.2, -2.45, 0, -1.75
"(4, 2)", -2.8, -2.55, 0, -1.5
"(4, 3)", -1.7, -2.2, 0, -2.45
"(4, 4)", -2.1, 0, 0, -1.0
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 23.417499999999997, 0, 0
"(0, 1)", -1.7, -4.1754999999999995, 0, 0
"(0, 2)", -2.2, -2.94, -2.55, 0
"(0, 3)", -2.55, -2.45, -1.7, 0
"(0, 4)", -1.5, 0, -2.45, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", -3.333333333333332, -2.55, -1.0, -3.333333333333332
"(1, 2)", 0, 0, -2.533, -3.17
"(1, 3)", -1.5, -1.0, -4.6633, -1.5
"(1, 4)", -2.69, 0, -1.5, -1.5
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, -1.0, 0, 0
"(2, 2)", 44.117549999999994, 0, 15.0, 25.0
"(2, 3)", 34.08699999999999, -5.926599999999999, 0, 0
"(2, 4)", -3.2199999999999998, 0, -1.7, -1.7
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, -1.7, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 25.5, 0, 0, 0
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, -1.0, -1.5, 0
"(0, 1)", 0, -1.0, 0, 0
"(0, 2)", 14.5, 0, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 15.0, 0, 0, 0
"(1, 0)", 0, -1.0, -1.0, -1.7
"(1, 1)", -1.5, 0, 0, 0
"(1, 2)", 0, 0, 0, 0
"(1, 3)", 0, 0, -1.5, 0
"(1, 4)", 0, 0, 0, -1.0
"(2, 0)", 0, -1.0, -1.0, -1.5
"(2, 1)", -1.0, 0, 0, 0
"(2, 2)", 0, -1.5, 0, 0
"(2, 3)", -1.0, -1.0, -1.5, -1.0
"(2, 4)", -1.0, 0, 0, -1.0
"(3, 0)", 0, 0, 0, -1.0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, -1.5, -1.0
"(3, 4)", 0, 0, 0, -1.0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, -1.0, 0, 0
"(4, 3)", -1.0, -1.7, 0, -1.0
