Experiment1_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -84.54535176885219, -60.154075110042825, 0
"(0, 1)", -144.24225294753217, 79.99999999980048, 0, 0
"(0, 2)", 36.94239757954435, 49.99999999999658, 43.252084999999994, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 28.27029666663835, -5.01711, -34.09244506604944
"(1, 1)", -2.295, 18.962177999999998, -8.209633487225624, 129.999999994076
"(1, 2)", 0, 0, -7.742446069999999, 53.31458490799999
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -10.827268109999999, -7.1493389999999994, -11.536753825
"(2, 1)", -7.965658809999999, -8.378919636535528, -14.438449913543305, 3.6963124999999994
"(2, 2)", -16.618567538177192, 60.374498373759366, -19.392012653730497, -3.1999977999999993
"(2, 3)", 45.30610107937968, 110.43947231108497, 0, 0
"(2, 4)", 103.43725029344183, 0, 46.81087175, 37.99499999999999
"(3, 0)", 0, -4.1754999999999995, -7.429741299999999, -11.186170354999998
"(3, 1)", -12.124148224999999, -8.276024403749998, -13.08996801875, -7.904734332643749
"(3, 2)", -10.9571924725, -12.193731911930747, -9.800706949999999, -28.747754592511573
"(3, 3)", -22.96447510258773, -5.3193, -7.777958999999999, -2.9494999999999996
"(3, 4)", 0, 0, -17.41545322375, 58.726751917486276
"(4, 0)", 0, -3.5805, 0, -11.624718
"(4, 1)", -2.0949999999999998, -5.5427795, 0, -11.513462375
"(4, 2)", -3.2375, -8.621994675, 0, -8.060509939374999
"(4, 3)", -4.1495, -32.009058245450305, 0, -6.866073999999999
"(4, 4)", -27.941444340496865, 0, 0, -20.243408973624998
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 116.8036441451041, 37.823499999999996, 0
"(0, 1)", 191.33940690850432, 40.082186487062486, 0, 0
"(0, 2)", 315.5656781775122, -26.329184077545193, -3.8427445966912765, 0
"(0, 3)", 522.6094634932983, -101.99926638789545, 6.850080345822575, 0
"(0, 4)", -73.96331257841265, 0, -384.4371722270666, 0
"(1, 0)", 0, 0, 0, -1.0
"(1, 1)", -1.0, 16.636431490717893, 0, 63.40242170275612
"(1, 2)", 0, 0, 69.36701432115292, -10.838887693340698
"(1, 3)", 20.289377113421356, -14.909592419096017, 35.78563334200624, 14.381707371174965
"(1, 4)", 10.437897536451336, 0, 0.29266522500000125, -327.22982004895334
"(2, 0)", 0, 0, 0, 0
