Experiment2_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 10103271951.148125, 91084.45782425861, 0
"(0, 1)", 6770920612.474933, 5387833573.021463, 0, 0
"(0, 2)", 8914650589.97195, 49.660888463575496, 47.1175995, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, 65694.66563051159, -7.213375, 9741771067.961937
"(1, 1)", -2.1, -4.095, 29824.068990691892, 22081.28155164966
"(1, 2)", 0, 0, -3.8099999999999996, 71.52960046212176
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -6.3671875, -6.91075, 21742730.720699407
"(2, 1)", 30560.953731670932, 43.374657673202705, -11.207183749999999, 76562.68922331667
"(2, 2)", 45501.36280941246, -2.9445999999999994, -7.0472725, 96.24736534640542
"(2, 3)", 47.12368267320271, 21.740137662251424, 0, 0
"(2, 4)", 73.39567668375335, 0, 0, 0
"(3, 0)", 0, -6.801187500000001, -7.394349999999999, 3291846.6134558106
"(3, 1)", -8.4986625, -5.5335, -6.5415, -7.246474999999999
"(3, 2)", -8.0090375, -5.7907005625, -5.35875, -11.7047762204047
"(3, 3)", -7.593124824640636, -2.5568897500000003, -4.322749999999999, -2.19
"(3, 4)", 0, 0, -12.629099187499998, 23.189295681787748
"(4, 0)", 0, -9.472224999999998, 0, -8.579725
"(4, 1)", -7.88575, -6.787904999999999, 0, -6.263999999999999
"(4, 2)", -7.605324999999999, -7.402970312499999, 0, -8.390112499999999
"(4, 3)", -8.866162499999998, -8.367940625, 0, -7.072187499999998
"(4, 4)", -11.079862062499998, 0, 0, -8.372181249999999
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 6780592138.451221, 49.762621924502845, 0
"(0, 1)", 9213193925.037655, 8059538985.087558, 0, 0
"(0, 2)", 9368100205.721333, -43.361806242786685, -3.479091842563955, 0
"(0, 3)", -59.134322507106624, -10.961588749999999, -12.97424300827691, 0
"(0, 4)", -11.470219375, 0, -8.6670375, 0
"(1, 0)", 0, 0, 0, -1.0
"(1, 1)", -1.0, 0.7894991090472443, 0, 4626829546.903501
"(1, 2)", 0, 0, 79.91018419190917, -8.491052408938497
"(1, 3)", -2.850275, -5.93749375, -2.7731, -7.242406465674623
"(1, 4)", -7.7044915624999994, 0, -3.885, -6.557124999999999
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 15.0, 15.0, 49.999211123089815, 32.254999999999995
"(2, 3)", 19.96628370885, -10.199778243387172, 0, 0
"(2, 4)", -3.7860047249999993, 0, 40.11904519999999, -5.100462499999999
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 48.580994199999985, 0
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 25.5, 0, 0, 44.117549999999994
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 0, -1.0, 0
"(0, 1)", -1.0, 0, 0, 0
"(0, 2)", 0, 37.99499999999999, 0, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -1.0, 0, 0
"(1, 1)", 0, -1.5, 0, 0
"(1, 2)", 0, 0, -3.39, 26.491999999999997
"(1, 3)", 6.904999999999999, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, -1.0, 0, 0
"(2, 2)", 0, -1.0, -1.0, -1.7
"(2, 3)", 0, 0, 0, -1.0
"(2, 4)", 0, 0, 0, 0
"(3, 0)", 0, -1.0, 0, 0
"(3, 1)", 0, 0, -1.0, -1.0
"(3, 2)", -1.0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 0, 0
"(4, 0)", 0, 0, 0, -1.0
"(4, 1)", -1.0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 0, 0, 0, 0
"False, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, 15.0, 0, 0
"(0, 1)", -1.0, 0, 0, 0
"(0, 2)", -1.0, -1.0, -1.0, 0
