Experiment2_SSS_1
True
Position,N,S,E,W
"(0, 0)", 0, -71.58637818236936, -44.66920936533137, 0
"(0, 1)", -70.88723300428659, 178.55656705791952, 6.631867499999999, 0
"(0, 2)", -0.8142378469991289, 132.70266051887126, -2.19, 0
"(0, 3)", 0, 76.69163081663268, 0, 0
"(0, 4)", 49.88368474300639, 0, 15.0, 0
"(1, 0)", 0, -24.95801634912393, -17.47018200941519, -32.57547051169573
"(1, 1)", -25.902082857847862, 8.7425, -1.5, 108.8987765571318
"(1, 2)", 0, 0, 7.720258501031777, 9.284767667034515
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 55.89099712398249
"(2, 0)", 0, -11.645358965874998, -10.756228, -24.521931382093502
"(2, 1)", -6.575086999999999, 53.73409556870141, -4.7081, 56.45680052111152
"(2, 2)", -2.69, -2.19, -6.17925, 43.203551294210364
"(2, 3)", -3.39, 185.0689945218665, 0, 0
"(2, 4)", 15.0, 0, 71.89687330882637, 135.60545589556335
"(3, 0)", 0, -7.8645, -6.442, -14.735114931824999
"(3, 1)", -6.223599999999999, -6.3942, -6.6945525, -4.89405
"(3, 2)", -6.604849999999999, -6.4758189999999995, -6.045047499999999, -6.457725
"(3, 3)", -4.6648, -3.2849999999999997, -4.0075, -3.2674224418999995
"(3, 4)", -1.0, 0, -67.71032699648418, 135.49702895723024
"(4, 0)", 0, -7.315, 0, -8.230599999999999
"(4, 1)", -8.0206, -8.2715213125, 0, -6.3195
"(4, 2)", -8.542866499999999, -7.967095624999999, 0, -9.295682024999998
"(4, 3)", -11.405080227499997, -29.732659220512488, 0, -9.644849816225001
"(4, 4)", -46.67859039248002, 0, 0, -46.063854067107016
False
Position,N,S,E,W
"(0, 1)", -14.558013673980795, -19.745764885279826, -10.199063164137694, 0
"(0, 2)", -14.478994426587944, -22.985632806378913, -17.927231602195665, 0
"(0, 3)", -20.898501814688228, -204.37060930752963, -16.903273260653904, 0
"(0, 4)", -242.5729408033891, 0, -210.50489286479473, 0
"(1, 0)", 0, -7.298146585546874, -9.07369066754737, -9.556337097057833
"(1, 1)", -7.6187378021875, -8.16606182725, -9.275600044032718, -10.342526588934081
"(1, 2)", -6.93246890109375, -8.826445875, -7.911648782864556, -16.546560153189457
"(1, 3)", -5.49319375, -6.8136399999999995, 910538585068246.1, -9.992773114062498
"(1, 4)", 1089.6460662403538, 0, 5969742817.643684, -279.28543407486904
"(2, 0)", 0, -7.442943383154358, -5.798349999999999, -7.619728796641615
"(2, 1)", -6.608232293769957, -6.773127692275301, -8.394904, -7.295401344189452
"(2, 2)", 5.04551820419436, -2.8468468265000006, 2.3029264926128922e+18, 3.5231948994531246
"(2, 3)", 8.528750638231607, 997808017.7151532, 8.236794249209955e+29, 84992.68211000238
"(2, 4)", 91970272983.68324, 0, 611605695.5910898, 653931872.4186625
"(3, 0)", 0, -8.933461726712302, -7.205537499999999, -5.263132767841238
"(3, 1)", -7.628259873934858, 4.3229310594123546e+17, 8.854614128334741e+25, -6.1542671875
"(3, 2)", 27628325920.57152, 2.8819682099077658e+17, 2.1092120742249629e+30, 2.3425955000000003
"(3, 3)", 1.695467378560788e+16, 1.479896606927815e+31, 1.0661835654973825e+30, 5.671538893869345e+28
"(3, 4)", 8.975427937597915e+29, 0, 1.9659462679313882e+31, 1023274692.0178344
"(4, 0)", 0, -5.9102625, 0, -8.41575625
"(4, 1)", -6.82154375, 1.8312049803668544e+29, 0, 2.058534036743108e+17
"(4, 2)", 6.20618723305686e+27, 2.3421390909156127e+31, 0, 5.077393908408698e+17
"(4, 3)", 1.4423256694446353e+31, 3.19424098826673e+31, 0, 8.330887602015682e+30
"(4, 4)", 2.2620615930800746e+31, 0, 0, 1.4082868936872196e+30
