Experiment5_2
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 1570.3423808347995, 42.49686331886902, 0
"(0, 1)", 2567.1423231333893, 915.8737216091477, 0, 0
"(0, 2)", 4084.725449315847, 1395.2450824202783, -3.088536753393664, 0
"(0, 3)", 3919.6267262588544, -1.5, -1.0, 0
"(0, 4)", -4.1754999999999995, 0, -7.4079162499999995, 0
"(1, 0)", 0, -3.69325, -3.64, -3.633
"(1, 1)", -3.9864999999999995, -1.5, -1.5, -1.85
"(1, 2)", 0, 0, 49.794376285113984, -8.358282968293423
"(1, 3)", -2.2664999999999997, -1.5, 0, 0
"(1, 4)", -1.0, 0, 174.18397979449028, -7.5203324999999985
"(2, 0)", 0, -3.97625, -3.64, -2.3449999999999998
"(2, 1)", -2.8724999999999996, -2.2, -2.55, -2.19
"(2, 2)", -2.55, -4.3575, 47.99535216869691, 21.868819535
"(2, 3)", -10.132007052874998, 158.7789783247696, 0, 0
"(2, 4)", -2.7731, 0, 110.19638938715528, 96.19364144728692
"(3, 0)", 0, -2.925, -2.2, -2.8724999999999996
"(3, 1)", -1.75, -1.0, -1.0, -2.8
"(3, 2)", 0, -1.0, -1.0, -1.5
"(3, 3)", -1.0, -1.85, 0, 0
"(3, 4)", 0, 0, 68.723442059528, 116.0784793270873
"(4, 0)", 0, -1.0, 0, -2.8
"(4, 1)", -1.0, -1.0, 0, -1.0
"(4, 2)", -1.5, -1.0, 0, 0
"(4, 3)", 0, -1.0, 0, -1.0
"(4, 4)", 49.99999869703042, 0, 0, 43.917546699999995
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -2243.4720655918745, -1613.0461781022395, 0
"(0, 1)", -2772.292269347554, 66.4031923298233, 0, 0
"(0, 2)", 45.64345752999999, 42.857770514295, 80.96380447524733, 0
"(0, 3)", -3.64, -2.9749999999999996, -2.55, 0
"(0, 4)", -2.575, 0, -3.275, 0
"(1, 0)", 0, -73.11647402216062, -43.48218765264268, -1019.6488512174085
"(1, 1)", -75.86028093726594, 50.87324109045835, 54.83652253470596, 47.762751398263234
"(1, 2)", 0, 0, 18.578282757839062, 131.58901182732436
"(1, 3)", -1.0, -2.225, -1.7, -1.0
"(1, 4)", -3.3024999999999998, 0, -2.45, -2.45
"(2, 0)", 0, -60.69899527714755, -29.12738019020852, -139.97137797639712
"(2, 1)", -83.78737890133918, -4.909135056281165, -4.858258670156251, 117.0223498874362
"(2, 2)", -2.8981750000000006, -2.346230985050001, -10.897094932748693, 215.0990240964746
"(2, 3)", -2.19, 24.598032613875, 0, 0
"(2, 4)", 46.34999999717328, 0, 37.29871, 38.9991740125
"(3, 0)", 0, -12.940312809390068, -19.125464996446055, -19.688393811462987
"(3, 1)", -5.91925617905625, 217.44456086638453, -4.589454327421876, -6.073756587313049
"(3, 2)", -3.8163450145625006, 148.92215604672913, -19.28625542490296, -7.012045566629989
"(3, 3)", -2.9166425947812513, 98.62235927725467, -2.0949999999999998, 2.656032576875
"(3, 4)", 0, 0, -38.053339943100376, 61.66499858754682
"(4, 0)", 0, -15.87388198323597, 0, -16.654428593731307
"(4, 1)", -10.92861666543154, -8.86953579650914, 0, -8.963655094742304
