Experiment2_1
"True, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, -874.7546759772752, -1957.4574418776056, 0
"(0, 1)", -573.6782828125595, 77.58682888343932, 0, 0
"(0, 2)", 48.567446951499996, 48.587623754999996, 2105.285939058519, 0
"(0, 3)", 0, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -32.73212186842954, -31.238586642430043, -2947.5987797939188
"(1, 1)", -23.308965950078864, -1.0641882500000004, -2.575, 100.97061813888675
"(1, 2)", 0, 0, 1225.3746946434082, 2272.7766901445802
"(1, 3)", 0, 0, 0, 0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -26.628400309268134, -23.661588879999996, -21.901464157977756
"(2, 1)", -21.565744534281095, -4.159649999999999, -5.3374999999999995, 43.88922600700231
"(2, 2)", -2.69, -1.7, -10.514154999999999, 2245.2209379268584
"(2, 3)", -4.77915653955866, 23.056538151777495, 0, 0
"(2, 4)", 42.29084255770902, 0, 32.849999999999994, 25.5
"(3, 0)", 0, -17.60412850857027, -19.969619503749996, -21.857294534281092
"(3, 1)", -13.299384789494438, -7.664776999999999, -11.036033749999998, -7.467774999999999
"(3, 2)", -7.983806249999999, 18.04251347727032, -7.478624999999999, -6.303801309999999
"(3, 3)", -3.15, 26.103077858890902, -14.214611651281125, -1.7
"(3, 4)", 0, 0, -10.066965324246247, 33.13832917091315
"(4, 0)", 0, -18.237235246875, 0, -19.141314362499998
"(4, 1)", -14.70368440625, -16.20021191104812, 0, -13.841499124999997
"(4, 2)", -14.425059703124997, -12.382927586887499, 0, -12.226149374999999
"(4, 3)", -12.936372499999997, -24.119864223006957, 0, -14.267275900640563
"(4, 4)", -16.432674958531123, 0, 0, -15.113889497282134
"False, True, True, True, True, True, True"
Position,N,S,E,W
"(0, 0)", 0, 49.51555494796499, 49.99999999999917, 0
"(0, 1)", 79.0599320676993, 123.45287419475486, 0, 0
"(0, 2)", 128.07897985274067, 101.44524702841235, -3.8405464571137493, 0
"(0, 3)", 200.37362465944273, -5.6405, -4.969374999999999, 0
"(0, 4)", -6.656124999999999, 0, -9.415009375, 0
"(1, 0)", 0, 0, 0, 0
"(1, 1)", 0, -20.179267826356547, 0, 31.599956663455316
"(1, 2)", 0, 0, 68.76289805796549, -9.987851128027014
"(1, 3)", -1.5, -4.06375, -1.9189250000000002, -2.225
"(1, 4)", -5.6061250000000005, 0, -3.9849999999999994, -8.98144375
"(2, 0)", 0, 0, 0, 0
"(2, 1)", 0, 0, 0, 0
"(2, 2)", 0, 37.640712083098656, 45.882284999999996, 53.392180447782096
"(2, 3)", 35.63040530693358, -9.327288207630158, 0, 0
"(2, 4)", -3.2925, 0, 48.390723508492954, -3.7318749999999996
"(3, 0)", 0, 0, 0, 0
"(3, 1)", 0, 0, 0, 0
"(3, 2)", 0, 0, 0, 0
"(3, 3)", 0, 0, 0, 0
"(3, 4)", 0, 0, 41.681258897016214, 12.665797499999996
"(4, 0)", 0, 0, 0, 0
"(4, 1)", 0, 0, 0, 0
"(4, 2)", 0, 0, 0, 0
"(4, 3)", 0, 0, 0, 0
"(4, 4)", 49.660888463575496, 0, 0, 32.849999999999994
"True, True, True, True, True, True, False"
Position,N,S,E,W
"(0, 0)", 0, -1.0, -2.1, 0
"(0, 1)", 0, -1.0, 0, 0
"(0, 2)", 0, 15.0, 36.9735, 0
"(0, 3)", 6.5, 0, 0, 0
"(0, 4)", 0, 0, 0, 0
"(1, 0)", 0, -1.5, -1.0, -2.2
"(1, 1)", -2.1, -1.0, -1.85, 0
"(1, 2)", 0, 0, -1.0, 5.3100000000000005
"(1, 3)", 0, 0, 0, -1.0
"(1, 4)", 0, 0, 0, 0
"(2, 0)", 0, -2.55, -1.0, 0
"(2, 1)", -1.7, -1.5, -2.05, -1.7
